,county,sex,xiang,q005,q006,q007,q008,q010,q012,q013,q014,q019,q020,q022,q023,q024,q025,q027,q030,q043,q044,q045,q049,q050,q051,q052,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q089,q090,q091,q092,q093,q094,q095,q096,q097,q098,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,q128,q129,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q142,q143,q144,q145,q147,q166,q167,q170,q171,q172,q173,q174,q175,q176,q177,q178,q179,q180,q181,q182,q184,q185,q186,q187,q188,q189,q190,q191,q192
71,ZH,T,3,14.5,1.5,4.6,25.1,60.5,7.7,76.3,0.8,47.4,20.0,9.2,14.4,69.5,4.6,42.1,96.9,54.1,99.3,97.8,89.3,98.5,84.0,94.7,1.5,0.8,0.8,0.0,0.8,96.9,2.3,97.7,0.0,0.0,0.0,0.0,1.5,18.6,,,3.1,49.8,156.0,62.3,25.5,22.0,6.1,0.0,3.1,17.5,0.8,29.7,15.3,6.8,15.3,5.4,6.1,3.7,6.1,3.0,124.0,81.4,102.7,2.2,2.72,2.58,2.09,2.63,2.51,2.8,1.5,1.5,54.1,20.6,24.4,33.5,40.1,39.9,,,,,,,40.0,7.3,,,0.0,8.42,,,0.0,0.0,0.0,36.1,10.8,53.8,29.0,274.0,182.3,121.8,75.3,67.2,152.0,10.6,13.8,13.8,41.1,62.1,79.5,,,,,,,,
76,ZI,F,2,24.2,0.0,,,,3.0,54.5,0.0,24.2,,6.1,,,,27.3,97.0,,,,,,,,3.0,3.0,0.0,3.0,6.1,97.0,42.4,100.0,0.0,0.0,0.0,0.0,45.5,3.0,,3.3,,49.6,151.0,58.9,26.0,15.2,0.0,0.0,0.0,9.1,0.0,24.2,9.1,9.1,15.2,15.2,3.0,10.0,6.1,6.1,115.0,73.8,94.4,2.08,2.51,2.39,1.97,2.39,2.28,3.4,0.8,3.0,51.5,0.0,18.2,0.0,15.6,15.6,,15.6,,23.6,,12.5,15.2,2.4,,2.4,0.0,2.8,,0.0,0.0,0.0,0.0,54.5,3.0,49.0,65.0,319.0,175.8,134.0,125.0,89.0,124.8,6.1,6.1,9.1,30.3,21.2,60.6,15.9,28.2,4.5,47.0,20.3,6.8,2.5,5.2
77,ZI,F,3,15.2,0.0,,,,1.5,74.2,0.0,36.4,,6.1,,,,23.1,83.4,,,,,,,,1.5,1.5,0.0,1.5,3.0,98.5,21.2,100.0,0.0,0.0,0.0,0.0,22.8,1.5,,3.4,,49.1,151.0,59.6,26.3,7.6,1.5,0.0,0.0,4.5,1.5,22.7,4.5,4.5,15.2,7.6,3.0,6.0,9.1,4.5,120.0,79.6,99.8,2.06,2.52,2.39,2.0,2.45,2.35,3.6,0.4,1.5,27.3,1.5,10.6,1.5,7.8,7.8,,7.8,,23.6,,6.3,7.6,1.2,,1.2,0.0,1.4,,0.0,0.0,0.0,0.0,30.3,1.5,75.6,66.0,311.0,196.4,153.8,116.0,96.0,212.3,4.5,3.0,6.0,18.2,12.1,33.4,15.0,30.6,4.7,50.5,19.9,6.3,1.8,5.5
80,ZI,T,3,16.4,0.0,5.4,30.2,63.9,1.5,72.2,0.0,51.8,29.4,12.8,22.5,49.8,4.7,43.5,86.1,48.0,100.0,99.3,92.5,100.0,77.2,79.6,0.8,1.5,0.0,0.8,2.3,97.7,22.4,99.2,0.0,0.0,0.0,0.0,20.2,2.2,,,2.4,49.4,157.0,63.0,25.7,8.2,3.0,0.0,0.0,8.2,0.8,24.4,5.2,3.8,20.7,8.2,2.3,4.0,7.7,2.3,124.0,81.9,102.8,2.34,2.88,2.64,2.29,2.82,2.61,3.4,0.4,1.5,30.0,3.9,9.9,5.3,24.2,22.4,,,,,,,23.8,3.3,,,0.0,3.82,,,0.0,0.0,0.0,40.0,4.6,75.7,52.0,315.0,198.9,160.4,123.4,95.3,178.0,4.6,7.6,9.8,20.8,28.3,50.2,,,,,,,,
84,ZJ,F,1,0.0,6.3,,,,0.0,96.9,0.0,6.3,,3.1,,,,3.1,100.0,,,,,,,,12.5,0.0,0.0,0.0,0.0,87.5,0.0,90.6,0.0,0.0,0.0,0.0,46.9,9.4,,2.8,,48.9,153.0,62.4,26.8,3.1,0.0,0.0,0.0,21.9,0.0,43.8,6.3,3.1,12.5,6.3,3.1,5.0,6.3,6.3,131.0,80.3,105.5,1.85,2.31,2.12,1.83,2.28,2.1,1.7,2.1,0.0,28.1,0.0,0.0,3.1,3.1,0.0,,0.0,,40.0,,0.0,3.1,0.6,,0.6,0.0,0.72,,0.0,0.0,0.0,0.0,6.3,0.0,40.8,13.0,344.0,123.5,127.1,103.0,95.7,39.9,25.0,15.6,25.0,43.8,6.3,43.8,15.8,29.8,5.1,48.0,20.4,4.6,2.0,4.1
85,ZJ,F,2,0.0,2.9,,,,0.0,82.9,0.0,17.1,,0.0,,,,22.9,91.4,,,,,,,,0.0,0.0,0.0,5.7,5.7,91.4,0.0,40.0,0.0,0.0,0.0,0.0,31.4,57.1,,2.7,,49.3,152.0,57.4,24.8,14.3,0.0,0.0,0.0,8.6,0.0,68.6,2.9,2.9,25.7,5.7,5.7,6.5,5.7,2.9,118.0,76.2,97.3,1.87,2.15,2.35,1.82,2.09,2.3,1.9,3.3,0.0,25.7,2.9,17.1,20.0,5.7,2.9,,2.9,,30.0,,2.9,0.0,0.0,,0.0,0.0,0.0,,0.0,5.7,0.0,0.0,8.6,0.0,66.9,34.0,278.0,179.8,47.3,50.3,93.6,78.4,11.4,0.0,11.4,57.1,14.3,57.1,17.0,29.1,6.2,52.0,19.9,4.9,1.8,3.8
86,ZJ,F,3,0.0,4.6,,,,0.0,89.9,0.0,11.7,,1.6,,,,13.0,95.7,,,,,,,,6.3,0.0,0.0,2.9,2.9,89.5,0.0,65.3,0.0,0.0,0.0,0.0,39.1,33.3,,2.8,,49.1,153.0,59.9,25.8,8.7,0.0,0.0,0.0,15.3,0.0,56.2,4.6,3.0,19.1,6.0,4.4,5.8,6.0,4.6,125.0,78.3,101.4,1.86,2.23,2.24,1.83,2.19,2.2,1.8,2.7,0.0,26.9,1.4,8.6,11.6,4.4,1.4,,1.4,,35.0,,1.4,1.6,0.3,,0.3,0.0,0.36,,0.0,2.9,0.0,0.0,7.5,0.0,53.9,24.0,311.0,151.7,87.2,76.7,94.7,59.2,18.2,7.8,18.2,50.5,10.3,50.5,16.4,29.5,5.7,50.0,20.1,4.8,1.9,3.9
89,ZJ,T,3,2.4,4.6,4.0,33.5,56.5,0.0,83.2,0.0,31.8,39.4,5.4,29.4,52.6,3.9,32.1,96.3,55.5,100.0,97.8,87.5,80.3,66.0,64.9,7.9,0.0,0.0,3.8,3.8,87.6,0.0,70.0,0.0,0.0,0.0,0.0,38.8,30.9,,,9.6,49.6,156.0,60.2,24.8,10.4,0.7,0.0,0.0,14.0,0.0,47.8,5.4,3.8,23.4,7.0,3.7,3.1,6.8,3.1,125.0,80.1,102.7,2.2,2.69,2.52,2.08,2.54,2.35,1.8,2.3,0.0,28.7,3.7,10.2,8.9,30.4,25.0,,,,,,,27.9,5.0,,,0.0,5.72,,,2.1,0.0,0.0,12.3,1.6,64.0,29.0,303.0,149.2,103.4,80.2,92.4,75.4,15.5,11.8,17.8,44.5,16.9,47.6,,,,,,,,
93,ZK,F,1,20.6,2.9,,,,41.2,0.0,0.0,27.3,,0.0,,,,26.5,94.1,,,,,,,,5.9,2.9,0.0,67.6,70.6,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.7,,50.0,152.0,56.1,24.4,17.6,0.0,0.0,2.9,8.8,2.9,26.5,8.8,8.8,14.7,8.8,8.8,8.7,8.8,0.0,119.0,72.8,95.8,1.79,2.06,2.06,1.71,1.97,1.98,0.7,0.3,14.7,38.2,2.9,14.7,8.8,5.9,5.9,,5.9,,17.5,,5.9,5.9,0.9,,0.9,0.0,1.09,,0.0,0.0,0.0,0.0,11.8,2.9,76.4,39.0,292.0,304.0,257.4,112.9,80.0,179.4,8.8,2.9,11.8,2.9,23.5,26.5,16.0,29.0,5.1,51.0,22.9,5.1,2.9,3.5
95,ZK,F,3,15.0,1.4,,,,23.7,0.0,0.0,31.9,,6.3,,,,33.0,97.0,,,,,,,,3.0,3.0,0.0,33.8,36.8,65.9,7.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.4,,49.6,154.0,56.6,24.1,14.9,0.0,0.0,1.4,4.4,3.0,34.5,16.5,12.0,11.9,7.5,7.5,4.6,7.5,0.0,114.0,72.7,93.0,1.91,2.26,2.24,1.86,2.2,2.17,1.4,0.1,17.9,31.2,1.4,11.9,7.5,3.0,3.0,,3.0,,17.5,,3.0,3.0,0.5,,0.5,0.0,0.55,,0.0,0.0,0.0,0.0,19.6,13.5,70.8,49.0,300.0,310.5,270.8,105.3,77.7,142.1,5.9,3.0,7.4,9.0,20.9,36.0,16.1,29.3,5.0,51.0,21.9,5.0,2.3,3.9
98,ZK,T,3,21.1,5.3,4.7,13.1,5.4,20.2,1.5,0.0,50.8,17.6,8.5,22.4,51.6,14.6,51.3,96.3,79.7,100.0,99.3,87.9,98.5,97.8,100.0,3.0,2.2,0.0,29.8,32.0,68.6,11.4,99.3,0.0,0.0,0.0,0.0,0.0,0.0,,,1.6,49.7,159.0,59.3,23.7,12.7,6.8,0.0,1.5,8.3,2.2,33.1,12.8,9.8,20.4,12.0,9.0,13.3,9.1,0.8,118.0,75.7,96.9,2.23,2.71,2.45,2.19,2.65,2.38,1.8,0.2,17.3,33.8,5.3,12.0,6.8,38.6,36.1,,,,,,,38.6,7.6,,,0.0,8.78,,,0.0,0.0,0.8,28.0,15.9,69.4,44.0,308.0,289.8,263.6,109.4,79.3,163.6,6.0,3.8,9.0,9.1,27.1,46.8,,,,,,,,
103,ZL,F,2,21.2,0.0,,,,3.0,3.0,0.0,24.2,,3.0,,,,21.2,84.8,,,,,,,,0.0,0.0,0.0,3.0,3.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,24.2,0.0,,3.1,,48.2,153.0,63.6,27.1,9.1,9.1,0.0,0.0,6.1,6.1,63.6,0.0,0.0,15.2,9.1,12.1,7.0,3.0,3.0,124.0,83.3,103.6,1.91,2.29,2.21,1.93,2.3,2.24,4.0,0.5,15.2,36.4,0.0,12.1,0.0,15.2,15.2,,15.2,,36.8,,0.0,15.2,1.2,,1.2,0.0,1.43,,0.0,0.0,0.0,0.0,48.5,36.4,80.6,39.0,321.0,223.5,279.1,77.0,76.9,175.1,3.0,6.1,6.1,12.1,30.3,36.4,16.0,30.1,4.5,50.0,21.2,5.9,2.3,4.5
